
    ██████╗ ██╗   ██╗███████╗██╗   ██╗███╗   ██╗ ██████╗███████╗██████╗ ██╗     ███████╗
    ██╔══██╗╚██╗ ██╔╝██╔════╝██║   ██║████╗  ██║██╔════╝██╔════╝██╔══██╗██║     ██╔════╝
    ██████╔╝ ╚████╔╝ █████╗  ██║   ██║██╔██╗ ██║██║     █████╗  ██████╔╝██║     █████╗
    ██╔═══╝   ╚██╔╝  ██╔══╝  ██║   ██║██║╚██╗██║██║     ██╔══╝  ██╔══██╗██║     ██╔══╝
    ██║        ██║   ██║     ╚██████╔╝██║ ╚████║╚██████╗███████╗██████╔╝███████╗███████╗
    ╚═╝        ╚═╝   ╚═╝      ╚═════╝ ╚═╝  ╚═══╝ ╚═════╝╚══════╝╚═════╝ ╚══════╝╚══════╝
    


Subject                                                                                              Status      Source    
idamankumaju.com                                                                                     ACTIVE      DNSLOOKUP 
icrms2022.org                                                                                        ACTIVE      WHOIS     
idamanqq.com                                                                                         ACTIVE      DNSLOOKUP 
idr77id.am.in                                                                                        ACTIVE      WHOIS     
idr89v18.com                                                                                         ACTIVE      DNSLOOKUP 
img.sky-peace.com                                                                                    ACTIVE      DNSLOOKUP 
impexwine.com                                                                                        ACTIVE      DNSLOOKUP 
inatogel.com                                                                                         ACTIVE      DNSLOOKUP 
iwa2024micropol.org                                                                                  ACTIVE      WHOIS     
jackiepapandrew.com                                                                                  ACTIVE      DNSLOOKUP 
inbelhist.org                                                                                        ACTIVE      WHOIS     
jackpot168jp.org                                                                                     ACTIVE      WHOIS     
jadwalpasaran.vip                                                                                    ACTIVE      WHOIS     
jago33.it.com                                                                                        ACTIVE      DNSLOOKUP 
jackpot808.info                                                                                      ACTIVE      WHOIS     
jasus.bot                                                                                            ACTIVE      DNSLOOKUP 
jimdrain.com                                                                                         ACTIVE      DNSLOOKUP 
jawa123.net                                                                                          ACTIVE      DNSLOOKUP 
jorgegois.com                                                                                        ACTIVE      DNSLOOKUP 
jos178e.com                                                                                          ACTIVE      DNSLOOKUP 
kaisar888am.com                                                                                      ACTIVE      DNSLOOKUP 
kangtotolaju.com                                                                                     ACTIVE      DNSLOOKUP 
kaisarlangit33max.com                                                                                ACTIVE      DNSLOOKUP 
kartumember1.com                                                                                     ACTIVE      DNSLOOKUP 
katekuepers.com                                                                                      ACTIVE      DNSLOOKUP 
karanarising.org                                                                                     ACTIVE      WHOIS     
kekoldi.org                                                                                          ACTIVE      WHOIS     
kera99gc.com                                                                                         ACTIVE      DNSLOOKUP 
keirforag.com                                                                                        ACTIVE      DNSLOOKUP 
kerang.cfd                                                                                           ACTIVE      WHOIS     
kilat77sultan.com                                                                                    ACTIVE      DNSLOOKUP 
koinaga88m.com                                                                                       ACTIVE      DNSLOOKUP 
kerangslot.in                                                                                        ACTIVE      WHOIS     
koinbet66.com                                                                                        ACTIVE      DNSLOOKUP 
koizebra.com                                                                                         ACTIVE      DNSLOOKUP 
kopi4dawan.com                                                                                       ACTIVE      DNSLOOKUP 
koko5000-tg.com                                                                                      ACTIVE      DNSLOOKUP 
kopi77asli.com                                                                                       ACTIVE      DNSLOOKUP 
kopi77n.com                                                                                          ACTIVE      DNSLOOKUP 
kopi77o.com                                                                                          ACTIVE      DNSLOOKUP 
kribo88.com                                                                                          ACTIVE      DNSLOOKUP 
langit69.co                                                                                          ACTIVE      WHOIS     
kopi77.id                                                                                            ACTIVE      WHOIS     
lanjutrokok.click                                                                                    ACTIVE      WHOIS     
larisaortizassociates.com                                                                            ACTIVE      DNSLOOKUP 
lashboutiques.com                                                                                    ACTIVE      DNSLOOKUP 
lapizzeriaetc.com                                                                                    ACTIVE      DNSLOOKUP 
lcrestaurants.com                                                                                    ACTIVE      DNSLOOKUP 
leftofstr8radio.com                                                                                  ACTIVE      DNSLOOKUP 
legalmethpipe.com                                                                                    ACTIVE      DNSLOOKUP 
letfuryhavethehour.com                                                                               ACTIVE      DNSLOOKUP 
lilbullies.com                                                                                       ACTIVE      DNSLOOKUP 
lenora.id                                                                                            ACTIVE      WHOIS     
link-amprusun22world.pages.dev                                                                       ACTIVE      DNSLOOKUP 
link-harum4d39.lat                                                                                   ACTIVE      WHOIS     
linkera.gumlet.io                                                                                    ACTIVE      DNSLOOKUP 
lolaart.net                                                                                          ACTIVE      DNSLOOKUP 
losangelesdeckbuilders.org                                                                           ACTIVE      WHOIS     
lukic.io                                                                                             ACTIVE      WHOIS     
lioncityparkour.com                                                                                  ACTIVE      DNSLOOKUP 
maintunas4d23.sbs                                                                                    ACTIVE      WHOIS     
mamauji77.net                                                                                        ACTIVE      DNSLOOKUP 
mami188-ee.com                                                                                       ACTIVE      DNSLOOKUP 
marga4dbos.com                                                                                       ACTIVE      DNSLOOKUP 
majapahitkuat.com                                                                                    ACTIVE      DNSLOOKUP 
mariinskylabel.com                                                                                   ACTIVE      DNSLOOKUP 
mas4d910.com                                                                                         ACTIVE      DNSLOOKUP 
mas4dio.com                                                                                          ACTIVE      DNSLOOKUP 
mas4d.it.com                                                                                         ACTIVE      DNSLOOKUP 
maxwin138ln.vercel.app                                                                               ACTIVE      DNSLOOKUP 
